"Test Case","Test","Template","Implemented"
"pthread_rwlock_tryrdlock - available",,"psxtmtest_single",
"pthread_rwlock_tryrdlock - not available",,"psxtmtest_single",
"pthread_rwlock_timedrdlock - available",,"psxtmtest_single",
"pthread_rwlock_timedrdlock - not available, blocks",,"psxtmtest_blocking",
"pthread_rwlock_unlock - no threads waiting",,,
"pthread_rwlock_unlock - thread waiting, no preempt",,,
"pthread_rwlock_unlock - thread waiting, preempt",,,
"pthread_rwlock_wrlock - available",,"psxtmtest_single",
"pthread_rwlock_wrlock - not available, blocks",,"psxtmtest_blocking",
"pthread_rwlock_trywrlock - available",,"psxtmtest_single",
"pthread_rwlock_trywrlock - not available",,"psxtmtest_single",
"pthread_rwlock_timedwrlock - available",,"psxtmtest_single",
"pthread_rwlock_timedwrlock - not available, blocks",,"psxtmtest_blocking",
,,,
"mq_open (first open)","psxtmsem02","psxtmtest_init_destroy",
"mq_close (close of first)","psxtmsem02","psxtmtest_init_destroy",
"mq_open (second open)","psxtmsem03","psxtmtest_init_destroy",
"mq_close (close of second)","psxtmsem03","psxtmtest_init_destroy",
"mq_unlink",,,
"mq_receive – available",,"psxtmtest_single",
"mq_receive - not available, block",,"psxtmtest_blocking",
"mq_timedreceive - available",,"psxtmtest_single",
"mq_timedreceive - not available, blocks",," ",
"mq_send - no threads waiting",,"psxtmtest_single",
"mq_send - thread waiting, no preempt",,,
"mq_send - thread waiting, preempt",,,
"mq_timedsend - no threads waiting",,"psxtmtest_single",
"mq_timedsend - thread waiting, no preempt",,,
"mq_timedsend - thread waiting, preemption",,,
"mq_notify ",,"psxtmtest_single",
,,,
"sem_init","psxtmsem01","psxtmtest_init_destroy",
"sem_destroy","psxtmsem01","psxtmtest_init_destroy",
"sem_open (first open)","psxtmsem02","psxtmtest_init_destroy",
"sem_close (close of first)","psxtmsem02","psxtmtest_init_destroy",
"sem_open (second open)","psxtmsem03","psxtmtest_init_destroy",
"sem_close (close of second)","psxtmsem03","psxtmtest_init_destroy",
"sem_wait – available",,"psxtmtest_single",
"sem_wait - not available, block",,"psxtmtest_blocking",
"sem_trywait - available",,"psxtmtest_single",
"sem_trywait - not available",,"psxtmtest_single",
"sem_post - no threads waiting",,"psxtmtest_single",
"sem_post - thread waiting, no preempt",,,
"sem_post - thread waiting, preempt",,,
"sem_getvalue",,"psxtmtest_single",
,,,
"sleep - yield","psxtmsleep01","psxtmtest_single","Yes"
"sleep - blocking","psxtmsleep02","psxtmtest_blocking","Yes"
"nanosleep - yield","psxtmnanosleep01","psxtmtest_single","Yes"
"nanosleep - blocking","psxtmnanosleep02","psxtmtest_blocking","Yes"
