"rtems_region_return_segment: task readied returns to caller",tm20,NA,Yes
,,,
"rtems_semaphore_create: only case",tm01,NA,Yes
"rtems_semaphore_delete: only case",tm01,NA,Yes
"rtems_semaphore_ident: only case",tm21,NA,Yes
"rtems_semaphore_obtain: available",tm01,NA,Yes
"rtems_semaphore_obtain: Counting/FIFO not available caller blocks",tm02,NA,Yes
"rtems_semaphore_obtain: not available NO_WAIT",tm01,NA,Yes
"rtems_semaphore_release: no waiting tasks",tm01,NA,Yes
"rtems_semaphore_release: Counting/FIFO task readied preempts caller",tm03,NA,Yes
"rtems_semaphore_release: task readied",tm04,NA,Yes
"rtems_semaphore_obtain: Counting/priority not available caller blocks",tm31,NA,Yes
"rtems_semaphore_release: Counting/priority task readied preempts caller",tm32,NA,Yes
"rtems_semaphore_obtain: Binary/FIFO not available caller blocks",tm33,NA,Yes
"rtems_semaphore_release: Binary/FIFO task readied preempts caller",tm34,NA,Yes
"rtems_semaphore_obtain: Binary/priority not available caller blocks",tm35,NA,Yes
"rtems_semaphore_release: Binary/priority task readied preempts caller",tm36,NA,Yes
,,,
"rtems_signal_catch: only case",tm19,NA,Yes
"rtems_signal: exit ASR overhead returns to calling task",tm19,NA,Yes
"rtems_signal: exit ASR overhead returns to preempting task",tm19,NA,Yes
"rtems_signal_send: returns to caller",tm19,NA,Yes
"rtems_signal_send: signal to self",tm19,NA,Yes
,,,
"rtems_task_create: only case",tm04,NA,Yes
"rtems_task_delete: blocked task",tm04,NA,Yes
"rtems_task_delete: calling task",tm18,NA,Yes
"rtems_task_delete: ready task",tm06,NA,Yes
"rtems_task_delete: suspended task",tm04,NA,Yes
"rtems_task_ident: only case",tm21,NA,Yes
"rtems_task_restart: blocked task preempts caller",tm04,NA,Yes
"rtems_task_restart: blocked task",tm04,NA,Yes
"rtems_task_restart: calling task",tm06,NA,Yes
"rtems_task_restart: ready task",tm04,NA,Yes
"rtems_task_restart: ready task",tm04,NA,Yes
"rtems_task_restart: suspended task preempts caller",tm07,NA,Yes
"rtems_task_restart: suspended task",tm04,NA,Yes
"rtems_task_resume: task readied preempts caller",tm05,NA,Yes
"rtems_task_resume: task readied returns to caller",tm06,NA,Yes
"rtems_task_set_priority: preempts caller",tm17,NA,Yes
"rtems_task_start: only case",tm04,NA,Yes
"rtems_task_suspend: calling task",tm05,NA,Yes
"rtems_task_suspend: returns to caller",tm06,NA,Yes
"rtems_task_wake_after: yield returns to caller",tm24,NA,Yes
"rtems_task_wake_after: yields preempts caller",tm24,NA,Yes
"rtems_task_wake_when: only case",tm23,NA,Yes
,,,
"rtems_timer_cancel: active",tm23,NA,Yes
"rtems_timer_cancel: inactive",tm23,NA,Yes
"rtems_timer_create: only case",tm23,NA,Yes
"rtems_timer_delete: active",tm23,NA,Yes
"rtems_timer_delete: inactive",tm23,NA,Yes
"rtems_timer_fire_after: active",tm23,NA,Yes
"rtems_timer_fire_after: inactive",tm23,NA,Yes
"rtems_timer_fire_when: active",tm23,NA,Yes
"rtems_timer_fire_when: inactive",tm23,NA,Yes
"rtems_timer_ident: only case",tm21,NA,Yes
"rtems_timer_reset: active",tm23,NA,Yes
"rtems_timer_reset: inactive",tm23,NA,Yes
